longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;<1H OCEAN;INLAND;NEAR BAY;NEAR OCEAN;median_house_value
-1.34;1.034;1.024;-0.0;-0.0;-0.0;-0.0;2.963;0;0;1;0;452600.0
-1.34;1.034;-0.6045;0.0;0.0;0.0;0.0;2.947;0;0;1;0;358500.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;2.281;0;0;1;0;352100.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;1.253;0;0;1;0;341300.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;0.1076;0;0;1;0;342200.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;0.2283;0;0;1;0;269700.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;0.0;-0.011795;0;0;1;0;299200.0
-1.34;1.02;1.92;0.0;0.0;-0.0;0.0;-0.355;0;0;1;0;241400.0
-1.34;1.02;1.105;-0.0;0.0;-0.0;0.0;-1.017;0;0;1;0;226700.0
-1.34;1.02;1.92;0.0;0.0;0.0;0.0;0.009346;0;0;1;0;261100.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.3015;0;0;1;0;281500.0
-1.34;1.02;1.92;0.0;0.0;0.0;0.0;-0.2593;0;0;1;0;241800.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.3838;0;0;1;0;213500.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.6387;0;0;1;0;191300.0
-1.34;1.02;1.92;0.0;0.0;-0.0;0.0;-1.12;0;0;1;0;159200.0
-1.34;1.02;1.757;-0.0;-0.0;-0.0;-0.0;-0.9883;0;0;1;0;140000.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.574;0;0;1;0;152500.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.9907;0;0;1;0;155500.0
-1.34;1.02;1.757;-0.0;-0.0;-0.0;-0.0;-1.073;0;0;1;0;158700.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.6836;0;0;1;0;162900.0
-1.34;1.02;0.943;-0.0;-0.0;-0.0;-0.0;-1.477;0;0;1;0;147500.0
-1.34;1.02;1.105;-0.0;-0.0;-0.0;-0.0;-1.25;0;0;1;0;159800.0
-1.34;1.02;1.92;-0.0;0.0;-0.0;-0.0;-1.243;0;0;1;0;113900.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.953;0;0;1;0;99700.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.686;0;0;1;0;132600.0
-1.34;1.02;0.04718;-0.0;-0.0;-0.0;-0.0;-0.81;0;0;1;0;107500.0
-1.34;1.02;1.676;-0.0;-0.0;-0.0;-0.0;-0.7754;0;0;1;0;93800.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-1.19;0;0;1;0;105500.0
-1.34;1.02;1.757;-0.0;-0.0;-0.0;-0.0;-1.295;0;0;1;0;108900.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-1.267;0;0;1;0;132000.0
-1.34;1.02;1.676;-0.0;-0.0;-0.0;-0.0;-1.113;0;0;1;0;122300.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-1.092;0;0;1;0;115200.0
-1.34;1.02;1.594;-0.0;-0.0;-0.0;-0.0;-1.197;0;0;1;0;110400.0
-1.34;1.02;1.676;-0.0;-0.0;-0.0;-0.0;-1.465;0;0;1;0;104900.0
-1.34;1.02;1.839;0.0;0.0;-0.0;0.0;-0.6025;0;0;1;0;109700.0
-1.34;1.02;1.676;-0.0;-0.0;-0.0;-0.0;-1.395;0;0;1;0;97200.0
-1.34;1.02;1.594;-0.0;-0.0;-0.0;-0.0;-1.642;0;0;1;0;104500.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-1.442;0;0;1;0;103900.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.125;0;0;1;0;191400.0
-1.34;1.02;1.92;-0.0;0.0;-0.0;0.0;-0.692;0;0;1;0;176000.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-1.006;0;0;1;0;155400.0
-1.34;1.02;1.839;-0.0;-0.0;-0.0;-0.0;-1.522;0;0;1;0;150000.0
-1.34;1.02;1.676;-0.0;-0.0;-0.0;-0.0;-1.6875;0;0;1;0;118800.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;0.1835;0;0;1;0;188800.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.4236;0;0;1;0;184400.0
-1.34;1.02;1.92;-0.0;-0.0;-0.0;-0.0;-0.636;0;0;1;0;182300.0
-1.34;1.02;1.757;-0.0;-0.0;-0.0;-0.0;-1.052;0;0;1;0;142500.0
-1.34;1.005;1.1875;-0.0;-0.0;-0.0;-0.0;-1.237;0;0;1;0;137500.0
