longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,<1H OCEAN,INLAND,NEAR BAY,NEAR OCEAN,rooms_per_household,bedrooms_per_household,persons_per_household,income_per_person
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,0,0,1,0,6.984126984126984,1.0238095238095237,2.5555555555555554,258.54658385093165
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,0,0,1,0,6.238137082601054,0.9718804920913884,2.109841827768014,34.57476051645147
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,0,0,1,0,8.288135593220339,1.073446327683616,2.8022598870056497,146.31854838709677
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,0,0,1,0,5.8173515981735155,1.0730593607305936,2.547945205479452,101.13082437275985
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,0,0,1,0,6.281853281853282,1.0810810810810811,2.1814671814671813,68.07433628318584
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,0,0,1,0,4.761658031088083,1.1036269430051813,2.139896373056995,97.74334140435838
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,0,0,1,0,4.9319066147859925,0.9513618677042801,2.1284046692607004,33.446983546617915
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,0,0,1,0,4.797527047913447,1.061823802163833,1.7882534775888717,26.96629213483146
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,0,0,1,0,4.294117647058823,1.1176470588235294,2.026890756302521,17.250414593698174
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,0,0,1,0,4.970588235294118,0.9901960784313726,2.172268907563025,23.798839458413926
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,0,0,1,0,5.477611940298507,1.0796019900497513,2.263681592039801,35.198901098901096
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,0,0,1,0,4.772479564032698,1.0245231607629428,2.0490463215258856,21.745345744680854
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,0,0,1,0,5.322649572649572,1.0128205128205128,2.3461538461538463,28.005464480874316
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,0,0,1,0,4.0,1.0977011494252873,1.9827586206896552,77.49565217391304
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,0,0,1,0,4.262903225806451,1.0096774193548388,1.9548387096774194,15.814356435643564
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,0,0,1,0,4.242424242424242,1.071969696969697,2.640151515151515,30.48780487804878
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,0,0,1,0,5.9395770392749245,1.0483383685800605,2.395770392749245,34.9936948297604
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,0,0,1,0,4.052805280528053,0.966996699669967,2.1386138613861387,32.71913580246913
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,0,0,1,0,5.343675417661098,1.0859188544152745,2.3627684964200477,20.112121212121213
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,0,0,1,0,5.465454545454546,1.0836363636363637,2.5090909090909093,37.72898550724638
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,0,0,1,0,4.524096385542169,1.108433734939759,2.463855421686747,33.19804400977995
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,0,0,1,0,4.478142076502732,1.0027322404371584,2.5382513661202184,18.444564047362757
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,0,0,1,0,5.096234309623431,1.1317991631799162,2.1234309623430963,16.995073891625616
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,0,0,1,0,5.193846153846154,1.0369230769230768,2.624615384615385,25.563892145369284
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,0,0,1,0,5.270142180094787,1.0355450236966826,2.3838862559241707,25.84493041749503
-122.28,37.85,39.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,0,0,1,0,4.495798319327731,1.0336134453781514,2.6638655462184873,75.82965299684543
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,0,0,1,0,4.7280334728033475,1.0209205020920502,2.5397489539748954,40.52224052718287
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,0,0,1,0,4.7808564231738035,1.0604534005037782,2.7758186397984885,16.406533575317603
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,0,0,1,0,4.40169133192389,1.040169133192389,2.3911205073995774,14.521662245800178
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,0,0,1,0,4.703225806451613,1.032258064516129,2.5483870967741935,42.721518987341774
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,0,0,1,0,5.068783068783069,1.1825396825396826,2.2830687830687832,22.33371958285052
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,0,0,1,0,4.882086167800454,1.090702947845805,2.6485260770975056,16.793664383561644
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,0,0,1,0,5.737313432835821,1.2208955223880598,3.062686567164179,17.51364522417154
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,0,0,1,0,5.0303951367781155,1.1124620060790273,2.291793313069909,18.23607427055703
-122.27,37.83,51.0,2665.0,574.0,1165.0,536.0,2.7303,109700.0,NEAR BAY,0,0,1,0,4.972014925373134,1.0708955223880596,2.173507462686567,23.436051502145922
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,0,0,1,0,4.6022727272727275,1.0681818181818181,2.159090909090909,26.071929824561405
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,0,0,1,0,4.807486631016043,1.1550802139037433,2.6390374331550803,11.116514690982775
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,0,0,1,0,3.7493796526054592,0.967741935483871,2.235732009925558,15.652608213096562
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,0,0,1,0,4.757281553398058,1.0679611650485437,2.2297734627831716,50.50798258345428
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,0,0,1,0,3.4942528735632186,1.0272988505747127,1.978448275862069,18.807552650689907
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,0,0,1,0,4.215189873417722,1.0607594936708862,2.3949367088607594,22.175475687103596
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,0,0,1,0,3.7590361445783134,1.248995983935743,2.076305220883534,24.858800773694387
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,0,0,1,0,3.7724867724867726,1.0687830687830688,2.4444444444444446,22.186147186147185
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,0,0,1,0,4.797979797979798,1.02020202020202,2.3585858585858586,84.88865096359743
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,0,0,1,0,4.941780821917808,1.0650684931506849,2.26027397260274,45.64393939393939
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,0,0,1,0,4.335078534031414,1.0994764397905759,1.8795811518324608,37.28133704735376
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,0,0,1,0,3.700657894736842,1.0592105263157894,2.026315789473684,32.88961038961038
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,0,0,1,0,3.9802371541501977,1.233201581027668,2.205533596837945,31.089605734767026
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,0,0,1,0,3.9,1.21875,2.64375,22.472813238770687
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,0,0,1,0,2.6875,1.0653409090909092,1.9886363636363635,25.357142857142858
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,0,0,1,0,2.045662100456621,1.0342465753424657,1.678082191780822,12.541496598639457
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,0,0,1,0,4.58968058968059,1.1203931203931203,2.6068796068796067,14.180018850141376
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,0,0,1,0,4.473611111111111,1.1847222222222222,2.720833333333333,5.670239918325676
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,0,0,1,0,4.075,1.14,2.905,10.735800344234079
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,0,0,1,0,5.021459227467811,1.0085836909871244,3.0085836909871246,22.964336661911553
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,0,0,1,0,4.295454545454546,1.1045454545454545,2.618181818181818,24.50173611111111
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,0,0,1,0,4.77992277992278,1.111969111969112,2.4015444015444016,24.207395498392284
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,0,0,1,0,6.102459016393443,1.3729508196721312,2.9836065573770494,11.225274725274724
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,0,0,1,0,4.5625,1.1217105263157894,3.5328947368421053,11.332402234636872
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,0,0,1,0,2.7719298245614037,0.7543859649122807,1.6491228070175439,272.6063829787234
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,0,0,1,0,5.994652406417113,1.1283422459893049,2.962566844919786,61.24368231046932
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,0,0,1,0,5.869565217391305,1.2608695652173914,3.739130434782609,711.4302325581394
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,0,0,1,0,6.229508196721311,1.5573770491803278,3.0901639344262297,23.90185676392573
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.1909999999999998,76100.0,NEAR BAY,0,0,1,0,7.69811320754717,1.490566037735849,3.2767295597484276,22.859884836852203
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,0,0,1,0,6.225563909774436,1.368421052631579,2.9473684210526314,66.16836734693878
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,0,0,1,0,5.401069518716578,1.1176470588235294,3.229946524064171,19.316225165562916
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,0,0,1,0,4.382530120481928,1.0662650602409638,2.3734939759036147,10.223350253807107
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,0,0,1,0,6.98639455782313,1.6598639455782314,3.3469387755102042,53.03658536585366
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,0,0,1,0,6.975609756097561,1.329268292682927,3.341463414634146,67.57664233576642
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,0,0,1,0,4.584288052373159,1.0540098199672667,2.983633387888707,5.376851343938563
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,0,0,1,0,6.047244094488189,1.1968503937007875,3.0866141732283463,45.201530612244895
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,0,0,1,0,3.375451263537906,1.0722021660649819,2.101083032490975,12.518900343642612
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,0,0,1,0,5.552631578947368,1.3421052631578947,3.6842105263157894,31.25
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,0,0,1,0,1.7142857142857142,0.5714285714285714,2.5714285714285716,277.72222222222223
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,0,0,1,0,6.2781954887218046,1.2105263157894737,2.180451127819549,85.62068965517241
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,0,0,1,0,2.8177676537585423,1.0523917995444192,1.7357630979498861,12.127296587926509
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,0,0,1,0,5.724950884086444,1.1041257367387034,2.4282907662082516,19.792880258899675
