longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;<1H OCEAN;INLAND;NEAR BAY;NEAR OCEAN;median_house_value
-1.3296409;1.0366442;1.0243417;-0.79758376;-0.9743113;-0.98255783;-0.9789465;2.9603806;0;0;1;0;452600.0
-1.3246547;1.0273402;-0.6042318;2.0534778;1.3497705;0.856557;1.6615938;2.9452236;0;0;1;0;358500.0
-1.3346232;1.0226873;1.920057;-0.52847725;-0.82920486;-0.8286348;-0.8458758;2.2803533;0;0;1;0;352100.0
-1.3396094;1.0226873;1.920057;-0.61695695;-0.7221591;-0.7737887;-0.73628813;1.2522883;0;0;1;0;341300.0
-1.3396094;1.0226873;1.920057;-0.4551263;-0.6151134;-0.76759636;-0.6319189;0.10793507;0;0;1;0;342200.0
-1.3396094;1.0226873;1.920057;-0.77970445;-0.77449256;-0.9020579;-0.8041281;0.22931838;0;0;1;0;269700.0
-1.3396094;1.0180361;1.920057;-0.038859367;-0.117945395;-0.299635;0.033434607;-0.011219283;0;0;1;0;299200.0
-1.3396094;1.0180361;1.920057;0.22199512;0.3530559;-0.24390425;0.38046214;-0.35454452;0;0;1;0;241400.0
-1.3445956;1.0180361;1.1057703;-0.029690493;0.3007224;-0.2005581;0.24478221;-1.0166123;0;0;1;0;226700.0
-1.3396094;1.0180361;1.920057;0.42600256;0.40063176;0.10463411;0.5552805;0.009223536;0;0;1;0;261100.0
-1.3445956;1.0226873;1.920057;-0.19152114;-0.24877907;-0.46240416;-0.2587991;-0.30162233;0;0;1;0;281500.0
-1.3445956;1.0226873;1.920057;0.40491417;0.5076775;0.06305721;0.60746515;-0.25869876;0;0;1;0;241800.0
-1.3445956;1.0226873;1.920057;-0.05903089;-0.1536273;-0.29609653;-0.086589955;-0.3832026;0;0;1;0;213500.0
-1.3445956;1.0180361;1.920057;-0.8819374;-0.82682604;-0.96221167;-0.8537035;-0.6388337;0;0;1;0;191300.0
-1.3445956;1.0226873;1.920057;0.010652555;0.20794941;-0.1952504;0.31001294;-1.1208645;0;0;1;0;159200.0
-1.3445956;1.0226873;1.7571998;-0.6875573;-0.607977;-0.65082717;-0.61887276;-0.9882089;0;0;1;0;140000.0
