iter	Logloss
0	0.6869380181
1	0.6804543079
2	0.6746118966
3	0.6709042258
4	0.6643820606
5	0.6609754965
6	0.6561597941
7	0.6514784835
8	0.6468873217
9	0.64481631
10	0.6426629438
11	0.6409336717
12	0.6384038934
13	0.6360639259
14	0.6338384637
15	0.6290394958
16	0.6279500326
17	0.6247539108
18	0.6235500569
19	0.620080681
20	0.616064797
21	0.6149687431
22	0.6137580692
23	0.6123244021
24	0.6096540424
25	0.608268573
26	0.6074807324
27	0.6065117921
28	0.6058088849
29	0.6044357945
30	0.6034838753
31	0.6008936922
32	0.5999612584
33	0.599068827
34	0.5973010426
35	0.596280466
36	0.5944327341
37	0.5925866642
38	0.5917401381
39	0.5910510426
40	0.5904312922
41	0.5900294344
42	0.5895581169
43	0.5890400345
44	0.5874060116
45	0.5869119993
46	0.5859753246
47	0.5853102993
48	0.5849025386
49	0.5844351182
50	0.5833314994
51	0.5830026546
52	0.5825504787
53	0.5810659203
54	0.5807021737
55	0.5800649437
56	0.578572018
57	0.5779894045
58	0.5773431769
59	0.5770432163
60	0.5766673773
61	0.5757497295
62	0.5755677129
63	0.5747270898
64	0.5744669023
65	0.5739597661
66	0.5722153641
67	0.571856145
68	0.5716232945
69	0.5713149666
70	0.5700598775
71	0.5689366014
72	0.5685716513
73	0.5682920931
74	0.5680471501
75	0.5673617224
76	0.5670866344
77	0.5665092934
78	0.5654316934
79	0.5645708398
80	0.5643092769
81	0.5640458801
82	0.5637502751
83	0.5635004035
84	0.5631432475
85	0.5628776156
86	0.5626349651
87	0.5625212047
88	0.562384463
89	0.5622129915
90	0.5620089679
91	0.5618156039
92	0.5616236727
93	0.5613760935
94	0.5612106395
95	0.5610772218
96	0.5609093608
97	0.560786832
98	0.5605887686
99	0.560385662
100	0.560197284
101	0.5600963037
102	0.5592790631
103	0.5591152137
104	0.5589690159
105	0.5588438509
106	0.5586908905
107	0.5584860072
108	0.5583854854
109	0.558216994
110	0.5580322266
111	0.5578690077
112	0.557750204
113	0.557560164
114	0.5573905264
115	0.5567024052
116	0.5565959232
117	0.5565175804
118	0.5560821963
119	0.5559728488
120	0.5558680288
121	0.5557683667
122	0.5557073316
123	0.5555108155
124	0.555072394
125	0.554915078
126	0.5548047563
127	0.5547079024
128	0.5545999303
129	0.5544839349
130	0.5543498294
131	0.5542532048
132	0.5538344979
133	0.5536733421
134	0.553487887
135	0.5534164214
136	0.5533575067
137	0.5532445487
138	0.5531112456
139	0.5530110104
140	0.5522511943
141	0.5515692626
142	0.5514796297
143	0.5513769875
144	0.5512203593
145	0.5511299241
146	0.5510381134
147	0.5509084782
148	0.5505437573
149	0.5504949292
150	0.5503563536
151	0.5502600155
152	0.5502006996
153	0.5500766808
154	0.5499711731
155	0.5498716256
156	0.5497574067
157	0.5496301212
158	0.5495799177
159	0.5494789374
160	0.5488549461
161	0.5484926322
162	0.5484136017
163	0.5482982367
164	0.5481684295
165	0.5480765616
166	0.5479978176
167	0.5479673287
168	0.5478786128
169	0.5478195262
170	0.5477344208
171	0.5476090266
172	0.547544037
173	0.5474729726
174	0.547336059
175	0.5472823595
176	0.5472258519
177	0.5471654471
178	0.5470778201
179	0.5469786165
180	0.546902738
181	0.5468547123
182	0.5467795788
183	0.5462428706
184	0.5461622355
185	0.5461091091
186	0.5460801102
187	0.5460099628
188	0.5459501884
189	0.545821986
190	0.5457638736
191	0.5456926373
192	0.5456187647
193	0.5455126265
194	0.545470561
195	0.5453594942
196	0.5444635096
197	0.5444355423
198	0.5443107211
199	0.5442445854
200	0.5441552964
201	0.544094032
202	0.5439956307
203	0.543872013
204	0.5437779673
205	0.5437133216
206	0.5436750385
207	0.5435999624
208	0.5435009307
209	0.5434232757
210	0.543375651
211	0.5433050451
212	0.5431119104
213	0.5430163746
214	0.5426467824
215	0.5425891285
216	0.5425302138
217	0.5424108371
218	0.5418572797
219	0.5417707416
220	0.541707586
221	0.5414239015
222	0.5414025822
223	0.5412904838
224	0.5411974123
225	0.5411264626
226	0.5410683502
227	0.5409995782
228	0.5409173956
229	0.5408197394
230	0.5407296481
231	0.5406303298
232	0.5405440783
233	0.5404966256
234	0.5402430288
235	0.5401312743
236	0.5400068543
237	0.5399526963
238	0.5398830647
239	0.5397810529
240	0.539725806
241	0.5396319895
242	0.5395109508
243	0.5394144981
244	0.5392053738
245	0.538838074
246	0.5387927418
247	0.5383470419
248	0.5382901904
249	0.5381944827
250	0.5380159047
251	0.5379158414
252	0.5378276986
253	0.5377613909
254	0.5372978103
255	0.5372473775
256	0.5372176336
257	0.5371466838
258	0.5370803761
259	0.5370051854
260	0.5369573889
261	0.5369003081
262	0.5368217361
263	0.5367594401
264	0.5366938201
265	0.5366395476
266	0.5365767931
267	0.5365068749
268	0.536453462
269	0.536400221
270	0.5363351168
271	0.5362642817
272	0.5362255401
273	0.5361455926
274	0.5360949879
275	0.5360626651
276	0.5356216072
277	0.5355661312
278	0.5352316127
279	0.5351112043
280	0.5350009972
281	0.5349479281
282	0.53488099
283	0.5348152555
284	0.5347394916
285	0.5346692296
286	0.5345816599
287	0.5345378177
288	0.5344723124
289	0.5344080679
290	0.5343512737
291	0.5343055403
292	0.5342678303
293	0.5341950466
294	0.5341229506
295	0.5340701681
296	0.5340381318
297	0.5339797902
298	0.5339162907
299	0.5338761737
300	0.5338084906
301	0.5337606367
302	0.533699315
303	0.5336021746
304	0.5335407956
305	0.5335139745
306	0.533457696
307	0.5334257171
308	0.5333701264
309	0.5333356257
310	0.5332896631
311	0.5332011765
312	0.5331358431
313	0.5331152115
314	0.5330557237
315	0.5330198476
316	0.5329584113
317	0.5328859714
318	0.5328521012
319	0.5328021269
320	0.5327275666
321	0.5326903151
322	0.5326510577
323	0.5326142074
324	0.5325495044
325	0.5325146026
326	0.5324163732
327	0.5323539053
328	0.5322814082
329	0.5322321789
330	0.5321931508
331	0.5321381905
332	0.5321134325
333	0.5320800781
334	0.5320592173
335	0.5320097014
336	0.5319415025
337	0.5318500931
338	0.5318021246
339	0.5317631538
340	0.5317300859
341	0.5317087093
342	0.5316168987
343	0.5315802203
344	0.5315114482
345	0.5314581499
346	0.5311011659
347	0.5310689004
348	0.5310175506
349	0.5309872336
350	0.5309446523
351	0.5308882019
352	0.5308569107
353	0.5308301469
354	0.5307955317
355	0.5307732954
356	0.5307398836
357	0.5307071023
358	0.5306736906
359	0.5303388855
360	0.5302776211
361	0.5302474188
362	0.5301905672
363	0.5301679871
364	0.5301326841
365	0.5300612759
366	0.5299962863
367	0.5299456816
368	0.5299127283
369	0.5298613786
370	0.529771058
371	0.5297543808
372	0.5296967269
373	0.5296674415
374	0.5296233701
375	0.5295655443
376	0.5295134495
377	0.5294801524
378	0.5294189453
379	0.5293711488
380	0.5293473078
381	0.5292871323
382	0.5292568726
383	0.5291832866
384	0.5291318222
385	0.5291102736
386	0.529067635
387	0.5290068291
388	0.5289647635
389	0.5289052184
390	0.5288434382
391	0.5288239528
392	0.5287852686
393	0.5287284171
394	0.5284623267
395	0.5284316658
396	0.5283851874
397	0.5281380667
398	0.5281118187
399	0.5280608128
400	0.5280291204
401	0.5279600618
402	0.5278930664
403	0.5278277903
404	0.5277615399
405	0.527699989
406	0.527631217
407	0.5275039315
408	0.5274608343
409	0.5273976214
410	0.5273489652
411	0.5270784047
412	0.527053876
413	0.5269989157
414	0.5269318057
415	0.5268666442
416	0.5268210254
417	0.5265504649
418	0.52649539
419	0.5264395127
420	0.5263875326
421	0.5263456389
422	0.5263013956
423	0.5262573242
424	0.5262008739
425	0.526151358
426	0.5258689343
427	0.5258268688
428	0.5257670371
429	0.5257117903
430	0.5256778054
431	0.5256294931
432	0.5255769971
433	0.5255350462
434	0.5254830087
435	0.5253924589
436	0.5253405361
437	0.525298929
438	0.5252424786
439	0.5251949113
440	0.525153247
441	0.5251332458
442	0.5250751334
443	0.5250326667
444	0.5249874491
445	0.5249495099
446	0.5249226315
447	0.5249128315
448	0.5248759238
449	0.5248430852
450	0.5248286431
451	0.5247966641
452	0.5247687541
453	0.5247454863
454	0.5246952827
455	0.5246736768
456	0.5246547645
457	0.5245974545
458	0.5245662206
459	0.5245474229
460	0.5245262755
461	0.5244769889
462	0.5244365853
463	0.5243737736
464	0.5243417946
465	0.5242792121
466	0.5242552565
467	0.5241951956
468	0.5241627008
469	0.5241249335
470	0.5240503159
471	0.5240122047
472	0.5239872176
473	0.5238847473
474	0.5238524244
475	0.5238184969
476	0.5237620466
477	0.5237297237
478	0.523633271
479	0.5235767633
480	0.5235338954
481	0.5234638626
482	0.5233954345
483	0.5233617362
484	0.5232853992
485	0.5232523887
486	0.5232037325
487	0.5230875651
488	0.5230146668
489	0.5229841779
490	0.5229432585
491	0.5228827965
492	0.5228523075
493	0.5228015882
494	0.5227853121
495	0.5227402665
496	0.5226898337
497	0.5226504044
498	0.5223800731
499	0.5223347409
500	0.5223098683
501	0.5222671151
502	0.5222260811
503	0.5221644155
504	0.5221092833
505	0.5220480189
506	0.5219999358
507	0.52197151
508	0.5219444024
509	0.5218884679
510	0.5218508152
511	0.5218117298
512	0.5217671426
513	0.521721753
514	0.5216595144
515	0.521651491
516	0.521608795
517	0.5215607692
518	0.521481968
519	0.5214429399
520	0.5213713597
521	0.5213255117
522	0.5212934181
523	0.5212398905
524	0.5211947302
525	0.5211628659
526	0.5211144962
527	0.5210718003
528	0.5209956353
529	0.5209659487
530	0.5209196422
531	0.5208489217
532	0.5207911532
533	0.5207618104
534	0.5207153893
535	0.5207002595
536	0.5206330922
537	0.5205769284
538	0.5205521704
539	0.520514002
540	0.5204466054
541	0.5204092966
542	0.5203702685
543	0.5203163398
544	0.5202790883
545	0.5202356473
546	0.5201856156
547	0.5201311138
548	0.5201034904
549	0.5200602214
550	0.5200296751
551	0.5199770072
552	0.5199603873
553	0.5198862282
554	0.5198477732
555	0.5198160807
556	0.5197638713
557	0.5195126816
558	0.5194441961
559	0.5193774299
560	0.5193361094
561	0.5192874532
562	0.5191915163
563	0.5191466426
564	0.5190985021
565	0.5190618237
566	0.5190133968
567	0.518964626
568	0.5189047943
569	0.5188341311
570	0.5187676515
571	0.518696759
572	0.5186442057
573	0.5185977846
574	0.5185331389
575	0.5184802418
576	0.5184487786
577	0.5183982312
578	0.518352727
579	0.518267679
580	0.518062853
581	0.5180047407
582	0.517940095
583	0.5178664516
584	0.5178234691
585	0.5177541813
586	0.5176856386
587	0.5176517684
588	0.5175982981
589	0.5173459049
590	0.5173115189
591	0.5172428615
592	0.5171815398
593	0.5171166075
594	0.5170478355
595	0.5169881758
596	0.5169317828
597	0.516876192
598	0.5168244984
599	0.5166061473
600	0.5165480923
601	0.516489808
602	0.5164477424
603	0.5163952465
604	0.5163431517
605	0.5162755832
606	0.5162552954
607	0.5161804486
608	0.5161036532
609	0.5160273162
610	0.5159578565
611	0.5159089138
612	0.5158321757
613	0.5157748657
614	0.5157011077
615	0.5156745158
616	0.5155774327
617	0.5155066548
618	0.5154336992
619	0.5153436079
620	0.5152568978
621	0.515229561
622	0.5151866358
623	0.5151186088
624	0.5150616426
625	0.5150172847
626	0.5149676542
627	0.5149422659
628	0.514899398
629	0.514869081
630	0.5148379044
631	0.5148086763
632	0.5147634014
633	0.5147024808
634	0.514493242
635	0.5144499729
636	0.5144009729
637	0.5143391927
638	0.5143071564
639	0.5142621108
640	0.5142021072
641	0.5141568323
642	0.5140885187
643	0.5140399199
644	0.5139823233
645	0.5136717031
646	0.5135896925
647	0.5135123239
648	0.5134747859
649	0.5134209718
650	0.5133610255
651	0.5133195904
652	0.5132503026
653	0.5131862873
654	0.5131570019
655	0.5130916112
656	0.5130198018
657	0.5129669619
658	0.5129401982
659	0.5128823724
660	0.5127948027
661	0.5127370915
662	0.5126631616
663	0.5125997194
664	0.5125283111
665	0.5124730643
666	0.5124146081
667	0.5123311647
668	0.5122619342
669	0.5122209576
670	0.5121547072
671	0.5120879984
672	0.5120058158
673	0.5119435772
674	0.5118872414
675	0.5118365794
676	0.5116306072
677	0.5114410257
678	0.5113948912
679	0.5113315063
680	0.5112613015
681	0.5112026734
682	0.5111612956
683	0.5110841563
684	0.5110222615
685	0.5109639772
686	0.5108928555
687	0.51070826
688	0.5104365532
689	0.5103748877
690	0.5102960291
691	0.510225022
692	0.5101766524
693	0.5101305178
694	0.5100742967
695	0.5098985269
696	0.5098230496
697	0.5097610975
698	0.5096629828
699	0.5094952364
700	0.509455234
701	0.5093794702
702	0.5092987777
703	0.5092345905
704	0.5091584828
705	0.5089629411
706	0.5088947422
707	0.5088047081
708	0.5087463665
709	0.508685446
710	0.5086319758
711	0.5085935208
712	0.5085287605
713	0.5084604469
714	0.5084058305
715	0.5083603263
716	0.5082935602
717	0.5082497753
718	0.5081951589
719	0.5081374477
720	0.5080632886
721	0.5079813926
722	0.5078942241
723	0.5078324439
724	0.507770721
725	0.5077252169
726	0.5076516308
727	0.5075666401
728	0.50746864
729	0.5072430678
730	0.5069864336
731	0.5069039645
732	0.5068623574
733	0.5068331866
734	0.5067572509
735	0.5066769022
736	0.5066464706
737	0.5065839454
738	0.5065278389
739	0.5064702997
740	0.5063952809
741	0.506339289
742	0.5062721217
743	0.5062207146
744	0.5061699952
745	0.5061080431
746	0.5060472372
747	0.505999326
748	0.5059224733
749	0.5058543317
750	0.5058194299
751	0.505641425
752	0.5055633115
753	0.5055147126
754	0.5053217498
755	0.5052558433
756	0.5052118866
757	0.5051288444
758	0.5050611039
759	0.504996974
760	0.5049409248
761	0.5048881996
762	0.5048200007
763	0.5047551831
764	0.5046721409
765	0.5046091572
766	0.5045288659
767	0.5044435886
768	0.5042342352
769	0.5041655205
770	0.5041035684
771	0.5040487227
772	0.5040012127
773	0.5039475705
774	0.5038982266
775	0.5038322055
776	0.5037909423
777	0.5037465843
778	0.5036621094
779	0.5035983806
780	0.5035164273
781	0.5034450191
782	0.5033722354
783	0.5033018587
784	0.5032501651
785	0.503188958
786	0.5031206444
787	0.5030670023
788	0.5030143344
789	0.502955477
790	0.5028771915
791	0.5028033189
792	0.5027538031
793	0.502689444
794	0.5026009573
795	0.5025520719
796	0.5024840449
797	0.5024066764
798	0.5023324026
799	0.5022779581
800	0.5022358926
801	0.5021545124
802	0.502104538
803	0.5020361099
804	0.5019790291
805	0.5018951273
806	0.5017291575
807	0.5016693832
808	0.5016139071
809	0.5015671994
810	0.5015132707
811	0.5014419197
812	0.5013771594
813	0.5013059804
814	0.5012529687
815	0.5012051148
816	0.5011286633
817	0.5010722702
818	0.5009779379
819	0.500924525
820	0.5008597074
821	0.500796036
822	0.500741878
823	0.5006780347
824	0.5006027866
825	0.5005373386
826	0.500470859
827	0.500390625
828	0.5003384729
829	0.5002745722
830	0.5002267184
831	0.5001614423
