iter	Passed	Remaining
0	3	5160
1	79	59638
2	85	42769
3	187	70080
4	190	56994
5	193	48287
6	197	42112
7	330	61552
8	333	55230
9	371	55370
10	375	50798
11	389	48261
12	464	53113
13	466	49549
14	522	51679
15	524	48678
16	568	49601
17	595	49059
18	603	47018
19	629	46568
20	632	44522
21	634	42644
22	637	40955
23	665	40933
24	729	43046
25	733	41595
26	788	43008
27	792	41665
28	822	41745
29	828	40588
30	872	41345
31	875	40170
32	924	41079
33	954	41164
34	959	40181
35	1038	42241
36	1046	41390
37	1060	40804
38	1112	41692
39	1116	40743
40	1119	39842
41	1200	41657
42	1217	41270
43	1241	41089
44	1244	40253
45	1248	39449
46	1310	40502
47	1313	39733
48	1363	40380
49	1366	39641
50	1370	38928
51	1437	40038
52	1441	39342
53	1513	40516
54	1546	40624
55	1564	40350
56	1568	39709
57	1625	40415
58	1631	39848
59	1665	39964
60	1668	39362
61	1751	40625
62	1754	40016
63	1797	40321
64	1801	39778
65	1804	39216
66	1808	38670
67	1886	39736
68	1890	39200
69	1893	38680
70	1896	38170
71	1962	38917
72	1964	38411
73	1967	37921
74	2008	38157
75	2036	38151
76	2039	37688
77	2076	37849
78	2110	37968
79	2114	37541
80	2147	37620
81	2168	37495
82	2197	37510
83	2226	37536
84	2234	37191
85	2276	37429
86	2360	38335
87	2363	37929
88	2428	38497
89	2432	38104
90	2435	37705
91	2495	38194
92	2498	37804
93	2502	37424
94	2505	37049
95	2568	37568
96	2598	37589
97	2612	37379
98	2615	37017
99	2630	36824
100	2763	38279
101	2766	37920
102	2804	38031
103	2807	37684
104	2810	37337
105	2813	36993
106	2815	36658
107	2894	37307
108	2897	36970
109	2928	37010
110	2933	36714
111	2977	36901
112	2981	36595
113	2986	36309
114	3016	36323
115	3018	36016
116	3050	36061
117	3053	35766
118	3059	35502
119	3083	35460
120	3102	35357
121	3105	35080
122	3142	35182
123	3145	34899
124	3169	34867
125	3172	34591
126	3179	34368
127	3181	34101
128	3204	34055
129	3221	33948
130	3228	33736
131	3232	33505
132	3235	33254
133	3238	33015
134	3241	32771
135	3245	32546
136	3328	33112
137	3335	32923
138	3339	32701
139	3342	32467
140	3350	32288
141	3355	32093
142	3363	31917
143	3371	31751
144	3379	31581
145	3387	31412
146	3404	31334
147	3416	31213
148	3451	31294
149	3455	31098
150	3480	31096
151	3488	30938
